"items","support"
"1","{小数乘法,小数除法}",0.064
"2","{位置,小数乘法}",0.074
"3","{数学广角}",0.134
"4","{小数乘法}",0.134
"5","{位置}",0.127
"6","{小数除法}",0.11
"7","{长方体和正方体}",0.078
"8","{多边形的面积}",0.074
"9","{简易方程}",0.057
"10","{分数的意义和性质}",0.053
"11","{倍数与因数}",0.053
"12","{分数加法和减法}",0.053
